country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Jamaica,4290,4570,4820,5630,5610,5840,6050,5990,5870,5950,6080,6190,6260,6600,6840,7060,7510,7790,7920,7480,7560,7820,8060,8110,8290,8330,8390,8710,8900
Japan,19700,21000,21600,22000,22600,23600,24800,25500,25400,25600,27200,27900,28600,29400,30900,32400,34000,35500,35700,34000,35900,36800,38200,40300,40600,42000,42500,43500,44400
Jordan,3910,3780,4420,4530,4650,4900,4920,5130,5300,5450,5880,6250,6520,6810,7450,8040,8640,9280,9540,9620,9230,9150,9040,9000,9020,8990,9020,9190,9430
Kazakhstan,,,,7010,6330,6020,6240,6530,6590,6800,7380,8690,9790,10700,11900,12900,14200,15600,15800,16400,17100,18200,19400,21300,22400,23600,22900,23600,24500
Kenya,1460,1480,1450,1420,1460,1530,1610,1610,1640,1650,1650,1700,1700,1730,1820,1950,2080,2210,2210,2230,2380,2520,2600,2710,2830,2960,3100,3230,3440
Kiribati,1530,2050,2110,2060,2100,2230,1950,2360,2650,2400,2570,2710,2600,2500,2400,2470,2470,2570,2560,2410,2510,2430,2780,3210,3650,4330,4300,4370,4410
Kuwait,,,,,,70600,70400,72400,72000,64200,66000,63700,62600,72700,82100,91000,98000,101000,96500,85000,79200,82700,86100,84400,83700,84800,88200,83500,84300
Kyrgyz Republic,,2110,1840,1590,1280,1220,1310,1420,1420,1460,1550,1690,1710,1850,1980,2040,2180,2420,2570,2640,2560,2610,2850,3050,3220,3320,3380,3550,3780
Lao,1110,1160,1220,1290,1390,1480,1580,1640,1690,1830,1900,2020,2150,2240,2450,2710,2890,3210,3420,3720,3870,4180,4570,4980,5440,5810,6190,6580,7090
Latvia,,,,,,5530,5820,6520,7090,7320,8010,9050,10100,11000,12000,13700,15400,17600,19200,18100,17800,19800,21100,22600,23800,24700,25800,28000,29800
Lebanon,4420,5490,6330,6670,7110,7510,8210,8260,8480,8460,8610,8600,8260,7240,8740,9280,9750,11200,12300,13200,13900,13800,13600,13300,12900,12600,12500,12800,13000
Lesotho,1350,1400,1420,1410,1470,1480,1560,1600,1570,1620,1660,1990,2050,2160,2180,2210,2290,2750,2920,2900,2980,3050,3200,3250,3290,3400,3590,3520,3680
Liberia,,,,,,,,,,,930,880,900,610,650,700,780,870,930,960,980,1090,1120,1200,1190,1190,1160,1170,1130
Libya,,,,,,,,,,,,,17300,19700,20300,23000,25500,27300,28100,27700,28900,11100,24500,21800,17100,16100,15400,19700,21300
Lithuania,,,,,,5910,6310,6940,7590,7640,8310,9320,10400,11800,12800,14300,16200,18400,20000,18500,19900,22200,23900,26100,27800,27800,29200,32100,34300
Luxembourg,28700,32100,32800,33900,34100,37500,38800,41300,41700,46200,49000,50300,49700,49000,58700,63000,63500,72700,71600,55700,61800,63500,63700,63800,67300,67600,68900,71300,72200
Madagascar,1200,1100,1130,1150,1130,1140,1160,1200,1230,1280,1320,1390,1190,1300,1350,1420,1500,1600,1690,1580,1560,1580,1590,1610,1650,1660,1700,1760,1840
Malawi,470,520,490,550,490,580,640,660,670,680,690,650,660,700,740,760,800,880,940,1000,1040,1080,1080,1120,1180,1190,1220,1260,1310
Malaysia,6560,7170,7760,8560,9310,10200,11100,11800,10700,11100,11900,12100,12800,13700,14700,15800,17100,18500,19200,18900,20000,21300,22300,23500,25000,26400,27500,29200,30700
Maldives,,,,,,5410,5840,6290,6730,7110,7430,7260,7720,8620,9190,8020,10200,9600,10800,9960,10300,11200,11300,11600,12300,12500,12800,13300,14100
Mali,820,930,900,930,950,940,1000,1040,1110,1160,1150,1270,1270,1410,1430,1520,1580,1640,1700,1740,1760,1810,1770,1800,1920,2010,2070,2150,2260
Malta,10000,10600,11100,11600,12200,13100,13700,15200,15600,17100,19000,19800,20700,20800,21400,21500,22400,24100,25500,24400,26400,27700,28200,29700,32100,34300,35200,38100,39200
Marshall Islands,,,,,,3500,3060,2950,3070,3140,3250,3480,3510,3460,3540,3710,3740,3930,3710,3780,3970,3980,3780,4080,4290,4730,4690,4860,5090
Mauritania,1710,1780,1810,1890,1820,2000,2250,2130,2180,2320,2280,2230,2370,2480,2610,2840,3200,3300,3350,3310,3300,3380,3510,3690,3810,3790,3840,3940,4120
Mauritius,4880,5260,5670,6010,6250,6620,7010,7480,7920,8160,8950,9430,9670,10300,11000,11500,12400,13700,14500,14900,15500,16300,18000,19700,20800,21900,22900,24600,26100
Mexico,6280,6690,7000,8360,8800,8170,8770,9460,9910,10200,10900,10900,11000,11300,11900,12400,13600,14100,14700,14300,15100,16300,16800,16900,17600,17800,18300,18900,19300
"Micronesia, Fed. Sts.",,,,2360,2360,2420,2360,2180,2250,2380,2550,2660,2710,2800,2830,3010,3120,3190,3160,3340,3380,3530,3550,3540,3470,3980,3940,3970,3640
Moldova,,,,,,2270,2290,2360,2220,2180,2270,2590,2840,3250,3630,4000,4320,4480,4950,4520,4970,5360,5550,6170,6560,6440,6790,7250,7620
Mongolia,3270,3080,2780,2690,2820,3050,3180,3330,3490,3610,3690,3860,4060,4360,4900,5280,5880,6490,7050,6820,6920,8120,9170,10400,11000,11100,11100,11000,12500
Montenegro,,,,,,,,,,,6310,7110,7500,7760,8240,8410,10600,12600,14000,13100,13500,14600,14100,15200,15600,16700,18000,19800,20900
Morocco,2470,2690,2650,2630,2940,2790,3170,3120,3360,3410,3500,3800,3950,4220,4500,4770,5210,5490,5870,6020,6240,6590,6800,7180,7330,7670,7730,8110,8430
Mozambique,,320,290,310,330,330,370,410,440,490,490,540,540,620,660,700,750,820,880,940,980,1060,1140,1210,1280,1330,1350,1380,1430
Myanmar,470,480,530,570,620,670,720,760,800,890,1030,1150,1300,1490,1730,2010,2320,2650,2960,3280,3610,3860,4030,4440,4810,5190,5570,5990,6500
Namibia,3780,4180,4340,4290,4340,4620,4650,4820,4970,4980,5350,5400,5750,6230,6810,6890,7530,7760,8000,7920,8170,8720,9050,9890,10600,11100,11000,10800,10900
Nauru,,,,,,,,,,,,,,,,,,5320,5600,6680,7540,8160,9660,12800,15800,16200,17500,19100,20900
Nepal,770,830,860,890,960,980,1030,1080,1100,1140,1220,1280,1280,1340,1410,1500,1580,1670,1780,1870,1960,2060,2210,2350,2560,2660,2680,2910,3110
Netherlands,19000,20100,20600,21400,22500,23800,24900,26300,27600,29700,32500,33000,34400,34500,36000,37100,41300,43900,45100,44100,45200,47300,48100,49900,49100,50300,50600,54900,56900
New Zealand,14200,13600,14000,14800,15900,16800,17100,18000,18500,19400,20300,21400,22100,22800,23700,24000,25900,27300,27700,29400,29700,31300,31600,34800,35800,36200,37900,38900,39400
Nicaragua,1890,1520,1410,1470,1770,1940,2100,2210,2330,2490,2610,2690,2730,2820,3020,3230,3390,3630,3780,3620,3780,4050,4330,4560,4820,5030,5260,5540,5400
Niger,570,580,540,540,560,560,580,580,630,610,600,630,630,650,650,680,710,730,780,750,790,790,860,880,930,940,960,990,1040
Nigeria,2060,2100,2160,2060,2050,2080,2170,2220,2220,2270,2230,2440,2760,2910,3190,3390,3830,3990,4220,4450,4710,4920,5130,5420,5810,5910,5760,5710,5710
North Macedonia,5460,5340,4990,4780,4840,4910,5030,5150,5360,5600,6010,5980,6230,6420,7040,7620,8550,8810,10300,10800,11100,11400,11600,12400,13100,13400,14200,14700,15700
Norway,17900,18900,20200,21100,22600,24000,26500,28300,27900,30300,36500,37800,38100,38800,42600,48300,54100,55700,61500,55700,58600,62700,66000,67800,68100,63000,60600,64800,68300
Oman,22200,23500,24500,25400,26000,27300,28100,30100,30900,31200,33600,35600,34500,34300,35200,35500,34800,39700,41400,41600,41700,39400,40900,41200,39700,41100,41700,41300,41700
Pakistan,2070,2140,2270,2290,2350,2460,2520,2510,2530,2580,2670,2710,2830,3030,3230,3500,3740,3930,3990,4070,4140,4280,4450,4630,4850,5050,5280,5530,5860
Palau,,,,,,,,,,,11100,11900,12400,11800,12500,14000,14400,15500,15100,14300,14700,16000,16500,16400,17300,19500,19600,18800,19500
Palestine,,,,,2620,2750,2690,3040,3540,3790,3280,2860,2440,2760,3020,3430,3350,3630,3810,3970,4200,4720,5010,5170,5240,5450,5670,5820,6000
Panama,4920,5300,5830,6300,6560,6550,6840,7180,7610,7770,8120,8150,8580,8660,9240,9990,11000,12300,13600,13600,13900,16100,17600,18600,19100,20000,20900,22200,23600
Papua New Guinea,1380,1540,1650,1960,2100,2060,2130,2080,1970,1960,1950,1910,1910,1860,1970,2170,2230,2480,2510,2590,2810,2780,3040,3050,3700,4010,4160,4270,4220
Paraguay,,,,,,5750,6140,6140,6090,5950,5550,5630,5770,5590,5980,6230,6850,7660,8290,8190,9090,9670,9590,10500,11100,11400,11800,12600,13200
Peru,3200,3440,3420,3600,4030,4320,4500,4800,4800,4860,5000,5110,5380,5600,5860,6290,6770,7510,8370,8510,9140,9840,10700,11500,12000,12500,12900,13100,13700
Philippines,2560,2600,2640,2710,2860,2990,3180,3380,3600,3660,3940,4090,4230,4410,4730,5050,5340,5710,5980,6200,6590,6820,7330,7920,8400,8850,9370,10000,10700
Poland,,5720,5920,6310,6970,7560,8200,8860,9410,9960,10600,11100,11700,12100,12900,13700,14800,16200,18000,18700,20300,22000,22900,23900,24700,25900,26600,28700,30000
Portugal,11800,12700,13300,13300,13600,14500,15000,15800,16600,17700,18600,19200,20100,20600,21200,22400,24000,25000,25800,25600,26400,26300,25800,27600,28200,28900,30300,32000,32700
Qatar,,,,,,,,,,,79400,84600,87800,89800,94200,85200,102000,104000,105000,98500,105000,114000,115000,116000,118000,121000,123000,124000,124000
Romania,5250,4790,4490,4670,4970,5390,5690,5510,5480,5530,5810,6480,7090,7380,8600,9320,11200,13200,16400,16400,16700,17600,18600,19400,20400,21100,23200,26000,27500
Russia,7990,7820,6790,6350,5710,5570,5440,5580,5230,5680,6650,7260,7880,8970,10000,11500,14500,16300,19600,18800,19900,23600,25000,25300,24900,23400,23400,25100,26900
Rwanda,560,580,660,670,360,510,560,610,610,610,630,670,760,770,840,940,1050,1130,1250,1300,1370,1470,1590,1640,1720,1840,1920,2030,2200
Samoa,1690,1680,,,,,,,,,,,3720,3920,4210,4460,4680,5100,5210,5040,5200,5440,5290,5310,5350,5710,6190,6290,6260
Sao Tome and Principe,,,,,,,,,,,,1540,1570,1700,1770,1920,2190,2280,2370,2380,2510,2620,2640,2840,3050,3080,3200,3300,3440
Saudi Arabia,28800,32500,33300,33000,32600,32900,33200,33400,34400,33100,34600,34200,32800,35900,38800,41100,42400,43300,45700,44000,45100,49200,51300,52100,53700,55300,55500,54500,55800
Senegal,1470,1510,1530,1530,1510,1590,1640,1670,1760,1840,1890,1980,1970,2100,2230,2370,2450,2570,2660,2640,2690,2700,2810,2850,3010,3140,3260,3460,3670
